imdb_id,score,explanation,name
tt6263850,1,"There are two or more women in this movie, but they don't talk to each other",Deadpool & Wolverine
tt4196566,3,There are two or more women in this movie and they talk to each other about something other than a man,The Deliverance
tt20202136,3,There are two or more women in this movie and they talk to each other about something other than a man,Descendants: The Rise of Red
tt7510222,3,There are two or more women in this movie and they talk to each other about something other than a man,Despicable Me 4
tt19356262,3,There are two or more women in this movie and they talk to each other about something other than a man,Drive-Away Dolls
tt15239678,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Dune: Part Two
tt15428134,1,"There are two or more women in this movie, but they don't talk to each other",Dunki
tt23149780,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Eden
tt10400116,3,There are two or more women in this movie and they talk to each other about something other than a man,Elli and Her Monster Team
tt20221436,3,There are two or more women in this movie and they talk to each other about something other than a man,Emilia Peréz
tt22528200,3,There are two or more women in this movie and they talk to each other about something other than a man,F*** Marry Kill
tt1684562,3,There are two or more women in this movie and they talk to each other about something other than a man,The Fall Guy
tt6133444,3,There are two or more women in this movie and they talk to each other about something other than a man,The Fire Inside
tt4772188,0,Fewer than two women in this movie,Flow
tt1896747,3,There are two or more women in this movie and they talk to each other about something other than a man,Fly me to the moon
tt21942598,3,There are two or more women in this movie and they talk to each other about something other than a man,Freaky Tales
tt18108824,3,There are two or more women in this movie and they talk to each other about something other than a man,The Friend
tt30505698,0,Fewer than two women in this movie,Friendship
tt12037194,3,There are two or more women in this movie and they talk to each other about something other than a man,Furiosa: A Mad Max Saga
tt21235248,3,There are two or more women in this movie and they talk to each other about something other than a man,Ghostbusters: Frozen Empire
tt9218128,1,"There are two or more women in this movie, but they don't talk to each other",Gladiator II
tt14539740,3,There are two or more women in this movie and they talk to each other about something other than a man,Godzilla x Kong: New Empire
tt31542175,3,There are two or more women in this movie and they talk to each other about something other than a man,Helix
tt31807233,3,There are two or more women in this movie and they talk to each other about something other than a man,Her Story
tt28015403,3,There are two or more women in this movie and they talk to each other about something other than a man,Heretic
tt9357860,3,There are two or more women in this movie and they talk to each other about something other than a man,The Hopeful
tt31392609,3,There are two or more women in this movie and they talk to each other about something other than a man,How to Make Millions Before Grandma Dies
tt15574270,3,There are two or more women in this movie and they talk to each other about something other than a man,I Saw The TV Glow
tt14961016,3,There are two or more women in this movie and they talk to each other about something other than a man,I'm still here
tt26658104,1,"There are two or more women in this movie, but they don't talk to each other",Imaginary
tt22022452,3,There are two or more women in this movie and they talk to each other about something other than a man,Inside Out 2
tt10655524,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",It ends with us
tt11315808,2,"There are two or more women in this movie, but they only talk to each other about a man",Joker: Folie à Deux
tt27403986,2,"There are two or more women in this movie, but they only talk to each other about a man",Juror #2
tt12735488,1,"There are two or more women in this movie, but they don't talk to each other",Kalki 2898 AD
tt22408160,3,There are two or more women in this movie and they talk to each other about something other than a man,Kinds of Kindness
tt11389872,1,"There are two or more women in this movie, but they don't talk to each other",Kingdom of the Planet of the Apes
tt8790086,0,Fewer than two women in this movie,Kraven the Hunter
tt21692408,3,There are two or more women in this movie and they talk to each other about something other than a man,Kung Fu Panda 4
tt21423506,3,There are two or more women in this movie and they talk to each other about something other than a man,Lady Parts
tt31193791,1,"There are two or more women in this movie, but they don't talk to each other",The Last Showgirl
tt5112584,3,There are two or more women in this movie and they talk to each other about something other than a man,Lee
tt27410895,3,There are two or more women in this movie and they talk to each other about something other than a man,Let Go
tt12908150,3,There are two or more women in this movie and they talk to each other about something other than a man,The Life of Chuck
tt21188080,3,There are two or more women in this movie and they talk to each other about something other than a man,Lisa Frankenstein
tt23468450,3,There are two or more women in this movie and they talk to each other about something other than a man,Longlegs
tt31711040,3,There are two or more women in this movie and they talk to each other about something other than a man,Look Back
tt19637052,3,There are two or more women in this movie and they talk to each other about something other than a man,Love Lies Bleeding
tt21375602,1,"There are two or more women in this movie, but they don't talk to each other",Love Me
tt30327451,2,"There are two or more women in this movie, but they only talk to each other about a man",The marching band (En fanfare)
tt22893404,3,There are two or more women in this movie and they talk to each other about something other than a man,Maria
tt22048412,3,There are two or more women in this movie and they talk to each other about something other than a man,MaXXXine
tt11762114,3,There are two or more women in this movie and they talk to each other about something other than a man,Mean Girls
tt10128846,2,"There are two or more women in this movie, but they only talk to each other about a man",Megalopolis
tt31122323,3,There are two or more women in this movie and they talk to each other about something other than a man,Megamind vs. The Doom Syndicate
tt23770030,3,There are two or more women in this movie and they talk to each other about something other than a man,Memoir of a Snail
tt28711135,3,There are two or more women in this movie and they talk to each other about something other than a man,Midwinter
tt5177120,0,Fewer than two women in this movie,The Ministry of Ungentlemanly Warfare
tt13622970,3,There are two or more women in this movie and they talk to each other about something other than a man,Moana 2
tt9214772,3,There are two or more women in this movie and they talk to each other about something other than a man,Monkey Man
tt13186482,1,"There are two or more women in this movie, but they don't talk to each other",mufasa
tt31015278,3,There are two or more women in this movie and they talk to each other about something other than a man,My Favourite Cake
tt28485522,3,There are two or more women in this movie and they talk to each other about something other than a man,My Freaky Family
tt22257924,3,There are two or more women in this movie and they talk to each other about something other than a man,Myrskyluodon Maija / Stormskärs Maja
tt29544253,3,There are two or more women in this movie and they talk to each other about something other than a man,Night of the Zoopocalypse
tt12810074,3,There are two or more women in this movie and they talk to each other about something other than a man,Nightbitch
tt16253418,3,There are two or more women in this movie and they talk to each other about something other than a man,No Way Up
tt5040012,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Nosferatu
tt28480619,3,There are two or more women in this movie and they talk to each other about something other than a man,"Nous, les Leroy"
tt32424777,3,There are two or more women in this movie and they talk to each other about something other than a man,Nugget is Dead?: A Christmas Story
tt26470109,3,There are two or more women in this movie and they talk to each other about something other than a man,Oddity
tt26625693,1,"There are two or more women in this movie, but they don't talk to each other",The Order
tt24229086,3,There are two or more women in this movie and they talk to each other about something other than a man,Over Easy
tt5822536,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Paddington in Peru
tt26677014,1,"There are two or more women in this movie, but they don't talk to each other",The Penguin Lessons
tt21187072,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",The Queen of Villains
tt24176060,1,"There are two or more women in this movie, but they don't talk to each other",Queer
tt33298252,1,"There are two or more women in this movie, but they don't talk to each other",Rabia
tt14948432,1,"There are two or more women in this movie, but they don't talk to each other",Red One
tt3359350,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Road House
tt6874690,1,"There are two or more women in this movie, but they don't talk to each other",The Rule of Jenny Pen
tt32178949,3,There are two or more women in this movie and they talk to each other about something other than a man,The Seed of The Sacred Fig
tt27744786,3,There are two or more women in this movie and they talk to each other about something other than a man,Shaitaan
tt32060445,3,There are two or more women in this movie and they talk to each other about something other than a man,Sister Midnight
tt24458622,3,There are two or more women in this movie and they talk to each other about something other than a man,The Six Triple Eight
tt27196021,3,There are two or more women in this movie and they talk to each other about something other than a man,Small Things Like These
tt29268110,3,There are two or more women in this movie and they talk to each other about something other than a man,Smile 2
tt18259086,1,"There are two or more women in this movie, but they don't talk to each other",Sonic the Hedgehog 3
tt7215232,3,There are two or more women in this movie and they talk to each other about something other than a man,Spellbound
tt17526714,1,"There are two or more women in this movie, but they don't talk to each other",The Substance
tt14088510,3,There are two or more women in this movie and they talk to each other about something other than a man,Tarot
tt27911000,3,There are two or more women in this movie and they talk to each other about something other than a man,Terrifier 3
tt8864596,1,"There are two or more women in this movie, but they don't talk to each other",Transformers One
tt26753003,2,"There are two or more women in this movie, but they only talk to each other about a man",Trap
tt7737224,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Turtles All The Way Down
tt12584954,3,There are two or more women in this movie and they talk to each other about something other than a man,Twisters
tt32537777,3,There are two or more women in this movie and they talk to each other about something other than a man,Ullozhukku
tt30648377,3,There are two or more women in this movie and they talk to each other about something other than a man,Umamusume: Pretty Derby - Beginning of a New Era
tt21830902,3,There are two or more women in this movie and they talk to each other about something other than a man,Upgraded
tt26736843,3,There are two or more women in this movie and they talk to each other about something other than a man,The Watchers
tt29713093,0,Fewer than two women in this movie,We Bury the Dead
tt27131358,3,There are two or more women in this movie and they talk to each other about something other than a man,We Live in Time
tt1262426,3,There are two or more women in this movie and they talk to each other about something other than a man,Wicked: Part 1
tt29623480,0,Fewer than two women in this movie,The Wild Robot
tt23330554,1,"There are two or more women in this movie, but they don't talk to each other",Winnie The Pooh: Blood and Honey 2
tt32439604,0,Fewer than two women in this movie,Xiong Shi Shao Nian 2
tt27218960,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Y2K
tt12261776,2,"There are two or more women in this movie, but they only talk to each other about a man",65
tt15282148,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",A Beautiful Life
tt26342673,3,There are two or more women in this movie and they talk to each other about something other than a man,About thirty
tt16419074,0,Fewer than two women in this movie,Air
tt22398528,3,There are two or more women in this movie and they talk to each other about something other than a man,Alice in Terrorland
tt10092698,3,There are two or more women in this movie and they talk to each other about something other than a man,All Fun and Games
tt21192142,0,Fewer than two women in this movie,All of us strangers
tt17009710,3,There are two or more women in this movie and they talk to each other about something other than a man,Anatomie d'une chute
tt10954600,3,There are two or more women in this movie and they talk to each other about something other than a man,Ant-Man and the Wasp: Quantumania
tt26047818,3,There are two or more women in this movie and they talk to each other about something other than a man,Anyone but you
tt9663764,1,"There are two or more women in this movie, but they don't talk to each other",Aquaman and the Lost Kingdom
tt9185206,3,There are two or more women in this movie and they talk to each other about something other than a man,Are You There God? It's Me Margaret
tt14230388,3,There are two or more women in this movie and they talk to each other about something other than a man,Asteroid City
tt11210390,3,There are two or more women in this movie and they talk to each other about something other than a man,Astérix et Obélix: L'Empire du Milieu
tt14007288,3,There are two or more women in this movie and they talk to each other about something other than a man,Bad Living
tt26350277,1,"There are two or more women in this movie, but they don't talk to each other",Ballerina
